negatives
"frozenset({'IL5', 'Q01955', 'P40337'})"
"frozenset({'Q13555', 'IL5', 'P36873'})"
"frozenset({'IL5', 'Q86U42', 'P26368'})"
"frozenset({'P34931', 'IL5', 'O00635'})"
"frozenset({'P19784', 'P16455', 'IL5'})"
"frozenset({'Q9NVF7', 'IL5', 'Q96P20'})"
"frozenset({'IL5', 'Q15750', 'P10644'})"
"frozenset({'O14958', 'IL5', 'Q8N8A6'})"
"frozenset({'Q96DF8', 'IL5', 'Q96CW5'})"
"frozenset({'P06753', 'IL5', 'A7E2Y1'})"
"frozenset({'P38398', 'IL5', 'Q71DI3'})"
"frozenset({'IL5', 'Q9Y3Q3', 'Q9H2G9'})"
"frozenset({'Q8IWV8', 'IL5', 'Q9UNN5'})"
"frozenset({'P50616', 'IL5', 'Q96GD3'})"
"frozenset({'P78509', 'IL5', 'P08648'})"
"frozenset({'Q8NCQ2', 'Q93062', 'IL5'})"
"frozenset({'Q15022', 'IL5', 'P25490'})"
"frozenset({'Q9UHR6', 'IL5', 'Q8NBS9'})"
"frozenset({'IL5', 'Q96CM3', 'O60506'})"
"frozenset({'IL5', 'P05230', 'Q05655'})"
"frozenset({'P61106', 'Q96T51', 'IL5'})"
"frozenset({'IL5', 'Q9P1Q5', 'P22612'})"
"frozenset({'IL5', 'Q9NXU5', 'A0PK00'})"
"frozenset({'P61221', 'IL5', 'P18124'})"
"frozenset({'Q8NGG6', 'IL5', 'P35626'})"
"frozenset({'Q12906', 'IL5', 'P84098'})"
"frozenset({'Q9UBC3', 'IL5', 'Q6P1J9'})"
"frozenset({'O00338', 'O75897', 'IL5'})"
"frozenset({'IL5', 'Q8IYE1', 'Q8WXK1'})"
"frozenset({'IL5', 'P62424', 'P18124'})"
"frozenset({'IL5', 'O00303', 'P78396'})"
"frozenset({'IL5', 'Q13424', 'P18440'})"
"frozenset({'O95168', 'IL5', 'P47985'})"
"frozenset({'Q71U36', 'IL5', 'P25024'})"
"frozenset({'IL5', 'P09493', 'Q15436'})"
"frozenset({'Q14566', 'IL5', 'Q06945'})"
"frozenset({'P05067', 'Q96A00', 'IL5'})"
"frozenset({'IL5', 'Q7Z7L7', 'Q96FF9'})"
"frozenset({'IL5', 'P22087', 'O60518'})"
"frozenset({'P06493', 'P10244', 'IL5'})"
"frozenset({'P19838', 'P80188', 'IL5'})"
"frozenset({'P61247', 'P35638', 'IL5'})"
"frozenset({'O43674', 'O43678', 'IL5'})"
"frozenset({'Q9HBH0', 'IL5', 'Q8IWW6'})"
