negatives
"frozenset({'Q9BSW2', 'Q8NDB6', 'IL5'})"
"frozenset({'IL5', 'Q9H832', 'O75843'})"
"frozenset({'P19438', 'Q14790', 'IL5'})"
"frozenset({'O94972', 'Q7Z2E3', 'IL5'})"
"frozenset({'IL5', 'Q9NR50', 'O60939'})"
"frozenset({'IL5', 'Q08945', 'Q5QNW6'})"
"frozenset({'Q8N6L0', 'IL5', 'O95954'})"
"frozenset({'IL5', 'Q13526', 'P14635'})"
"frozenset({'Q02156', 'Q96B18', 'IL5'})"
"frozenset({'P40763', 'IL5', 'Q15170'})"
"frozenset({'Q99471', 'IL5', 'Q9HAV4'})"
"frozenset({'O15479', 'IL5', 'O15379'})"
"frozenset({'Q6ZU15', 'IL5', 'Q96HA8'})"
"frozenset({'IL5', 'Q8WVD3', 'O75771'})"
"frozenset({'Q9H2U1', 'Q9UKV8', 'IL5'})"
"frozenset({'IL5', 'P15313', 'Q86Y82'})"
"frozenset({'Q8TBC4', 'IL5', 'Q96RL1'})"
"frozenset({'P49792', 'IL5', 'P52952'})"
"frozenset({'Q9NQW7', 'IL5', 'P15311'})"
"frozenset({'IL5', 'Q12905', 'P17026'})"
"frozenset({'Q86Y39', 'P19404', 'IL5'})"
"frozenset({'Q9H0U4', 'IL5', 'P13489'})"
"frozenset({'IL5', 'O14980', 'Q96JC9'})"
"frozenset({'Q9Y6G9', 'Q8TD16', 'IL5'})"
"frozenset({'O60814', 'IL5', 'Q96GD4'})"
"frozenset({'Q9BV73', 'IL5', 'Q96ES7'})"
"frozenset({'Q9C0H5', 'IL5', 'Q14114'})"
"frozenset({'Q96A57', 'IL5', 'P48039'})"
"frozenset({'Q9UDV6', 'IL5', 'Q8IYH5'})"
"frozenset({'IL5', 'P55735', 'Q9BW27'})"
"frozenset({'Q96EV8', 'IL5', 'O95678'})"
"frozenset({'Q8WXH4', 'IL5', 'O00231'})"
"frozenset({'IL5', 'Q16698', 'P51659'})"
"frozenset({'Q16643', 'IL5', 'Q92614'})"
"frozenset({'A1A4S6', 'IL5', 'P60709'})"
"frozenset({'Q13618', 'IL5', 'Q8NCA5'})"
"frozenset({'Q13576', 'IL5', 'P0DP23'})"
"frozenset({'Q6ZU15', 'IL5', 'Q9H6L4'})"
"frozenset({'IL5', 'O43586', 'P31939'})"
"frozenset({'Q02241', 'IL5', 'P61204'})"
"frozenset({'IL5', 'Q9HC35', 'P60891'})"
"frozenset({'IL5', 'Q8NGD5', 'O60262'})"
"frozenset({'P17813', 'IL5', 'P18146'})"
"frozenset({'P29083', 'IL5', 'Q9BTE6'})"
"frozenset({'IL5', 'Q9Y520', 'Q00987'})"
"frozenset({'Q5T7N2', 'Q8NFC6', 'IL5'})"
"frozenset({'Q9BZL6', 'Q8WZ73', 'IL5'})"
"frozenset({'Q8IZU0', 'IL5', 'O15427'})"
"frozenset({'P40937', 'IL5', 'P27635'})"
"frozenset({'IL5', 'P68363', 'Q96AH8'})"
"frozenset({'Q15390', 'Q9HCE1', 'IL5'})"
"frozenset({'Q9P2W3', 'IL5', 'P45984'})"
"frozenset({'IL5', 'O15254', 'Q86TG1'})"
"frozenset({'P61218', 'Q5VTH2', 'IL5'})"
"frozenset({'P07437', 'IL5', 'O14920'})"
"frozenset({'IL5', 'P32745', 'Q14160'})"
"frozenset({'IL5', 'P42226', 'O75928'})"
"frozenset({'P46379', 'IL5', 'Q12800'})"
"frozenset({'IL5', 'P62913', 'Q8IZL8'})"
"frozenset({'Q6ZW49', 'P42167', 'IL5'})"
"frozenset({'Q8N6R1', 'IL5', 'Q9H2H9'})"
"frozenset({'P16234', 'IL5', 'P46108'})"
"frozenset({'IL5', 'P01570', 'Q6UXL0'})"
"frozenset({'IL5', 'Q9UMX1', 'Q0D2J5'})"
"frozenset({'P16403', 'IL5', 'Q8TEK3'})"
"frozenset({'IL5', 'Q9BTX1', 'P63279'})"
"frozenset({'Q06432', 'IL5', 'P22612'})"
"frozenset({'Q9BUJ2', 'IL5', 'Q9Y3C6'})"
"frozenset({'O43169', 'IL5', 'Q9NPH2'})"
"frozenset({'P63096', 'IL5', 'Q9Y272'})"
"frozenset({'P19838', 'Q8IY42', 'IL5'})"
"frozenset({'Q6FHJ7', 'P56703', 'IL5'})"
"frozenset({'Q9UK73', 'IL5', 'Q9BT78'})"
"frozenset({'P38606', 'P30480', 'IL5'})"
"frozenset({'Q9BXM7', 'P08238', 'IL5'})"
"frozenset({'P62736', 'IL5', 'Q9BXW4'})"
"frozenset({'IL5', 'P62266', 'Q86VP6'})"
"frozenset({'Q9H4B7', 'IL5', 'P24387'})"
"frozenset({'IL5', 'P06239', 'P08575'})"
"frozenset({'Q96D03', 'IL5', 'P41227'})"
"frozenset({'IL5', 'P55036', 'Q96HN2'})"
"frozenset({'IL5', 'Q16594', 'Q14919'})"
"frozenset({'IL5', 'Q9UL42', 'Q9Y5P4'})"
"frozenset({'Q7KZF4', 'IL5', 'O14950'})"
"frozenset({'P25963', 'IL5', 'Q92769'})"
"frozenset({'IL5', 'Q14161', 'P84022'})"
"frozenset({'IL5', 'O75362', 'Q92769'})"
"frozenset({'Q9BUP0', 'IL5', 'Q9BTV5'})"
"frozenset({'P61769', 'IL5', 'Q29963'})"
"frozenset({'IL5', 'P33993', 'O60832'})"
"frozenset({'IL5', 'Q9BW61', 'Q6RW13'})"
"frozenset({'P01584', 'P20226', 'IL5'})"
"frozenset({'Q12874', 'Q9UJT2', 'IL5'})"
"frozenset({'P12277', 'IL5', 'P12814'})"
"frozenset({'Q96BA8', 'IL5', 'Q06455'})"
"frozenset({'O75083', 'IL5', 'Q6ZMR3'})"
"frozenset({'P53367', 'O94903', 'IL5'})"
"frozenset({'Q9BYP8', 'IL5', 'P43220'})"
"frozenset({'P61956', 'IL5', 'P07602'})"
"frozenset({'O43318', 'Q13490', 'IL5'})"
"frozenset({'P26358', 'IL5', 'P13056'})"
"frozenset({'IL5', 'Q15653', 'P62888'})"
"frozenset({'IL5', 'Q96EI5', 'Q9ULT8'})"
"frozenset({'IL5', 'Q15637', 'Q86WT6'})"
"frozenset({'Q96AJ1', 'IL5', 'Q9UG01'})"
"frozenset({'IL5', 'Q16348', 'Q6PEX3'})"
"frozenset({'Q92993', 'IL5', 'O15211'})"
"frozenset({'IL5', 'Q9BXL8', 'Q9H7D0'})"
"frozenset({'IL5', 'O15259', 'Q8N2U0'})"
"frozenset({'Q9Y4E8', 'IL5', 'P46531'})"
"frozenset({'IL5', 'Q15843', 'Q8TEB1'})"
"frozenset({'IL5', 'Q6NXT2', 'P52732'})"
"frozenset({'IL5', 'Q9BYR6', 'A8MYP8'})"
"frozenset({'IL5', 'P54646', 'P50151'})"
"frozenset({'Q92956', 'IL5', 'Q9NRR5'})"
"frozenset({'IL5', 'O95274', 'Q9UIA9'})"
"frozenset({'Q13601', 'IL5', 'Q99496'})"
"frozenset({'Q9UPX8', 'Q14155', 'IL5'})"
"frozenset({'IL5', 'Q9H792', 'P62136'})"
"frozenset({'Q7Z6J9', 'P67870', 'IL5'})"
"frozenset({'IL5', 'P20807', 'Q13203'})"
"frozenset({'Q9NR22', 'IL5', 'Q16352'})"
"frozenset({'P45983', 'P16520', 'IL5'})"
"frozenset({'IL5', 'Q63HR2', 'Q9H2G9'})"
"frozenset({'Q9P0L2', 'IL5', 'Q04917'})"
"frozenset({'O43795', 'IL5', 'Q9NQX4'})"
"frozenset({'Q86X29', 'Q9H0W5', 'IL5'})"
"frozenset({'P09661', 'IL5', 'Q9BWJ5'})"
"frozenset({'Q15717', 'IL5', 'Q86W42'})"
"frozenset({'P51671', 'IL5', 'P46094'})"
"frozenset({'P05067', 'P50148', 'IL5'})"
"frozenset({'IL5', 'P52952', 'P63279'})"
"frozenset({'Q13619', 'Q9H9Q2', 'IL5'})"
"frozenset({'Q8NGJ9', 'IL5', 'P35626'})"
"frozenset({'P11831', 'P56524', 'IL5'})"
"frozenset({'Q96P16', 'IL5', 'Q9BZD4'})"
"frozenset({'P04637', 'IL5', 'O60573'})"
"frozenset({'O43633', 'IL5', 'P10600'})"
"frozenset({'IL5', 'Q96HY7', 'Q6P587'})"
"frozenset({'Q9BV73', 'IL5', 'Q5JTW2'})"
"frozenset({'IL5', 'Q08722', 'Q86VR2'})"
"frozenset({'IL5', 'Q8N556', 'Q15691'})"
"frozenset({'Q9UNH7', 'IL5', 'Q15561'})"
"frozenset({'Q96DZ9', 'Q7L4I2', 'IL5'})"
"frozenset({'IL5', 'P07992', 'Q92793'})"
"frozenset({'IL5', 'P60409', 'P59990'})"
"frozenset({'O15350', 'O14757', 'IL5'})"
"frozenset({'Q9UH99', 'IL5', 'Q6NUS6'})"
"frozenset({'Q13315', 'Q96JI7', 'IL5'})"
"frozenset({'IL5', 'Q8NGW6', 'O60262'})"
"frozenset({'P12277', 'Q9NUX5', 'IL5'})"
"frozenset({'Q8N726', 'IL5', 'Q99707'})"
"frozenset({'P83731', 'IL5', 'O43776'})"
"frozenset({'P55957', 'IL5', 'Q07812'})"
"frozenset({'IL5', 'Q9Y3E7', 'Q6DKK2'})"
"frozenset({'Q03135', 'P09619', 'IL5'})"
"frozenset({'IL5', 'Q13007', 'P10912'})"
"frozenset({'IL5', 'P52272', 'P34897'})"
"frozenset({'IL5', 'P08574', 'Q96CM3'})"
"frozenset({'Q96RD3', 'P17612', 'IL5'})"
"frozenset({'P04637', 'IL5', 'P38936'})"
"frozenset({'IL5', 'P55735', 'Q92734'})"
"frozenset({'Q9Y6D9', 'P09493', 'IL5'})"
"frozenset({'P54253', 'P11142', 'IL5'})"
"frozenset({'P54274', 'Q6P2H3', 'IL5'})"
"frozenset({'P12931', 'IL5', 'P36544'})"
"frozenset({'IL5', 'P03897', 'Q9Y6M9'})"
"frozenset({'Q92993', 'IL5', 'Q9Y2K1'})"
"frozenset({'Q8NGX3', 'IL5', 'O60262'})"
"frozenset({'IL5', 'P08254', 'O75503'})"
"frozenset({'Q14690', 'IL5', 'Q86VP6'})"
"frozenset({'P34932', 'P10155', 'IL5'})"
"frozenset({'IL5', 'P21281', 'P52701'})"
"frozenset({'P61956', 'P11142', 'IL5'})"
"frozenset({'Q12857', 'IL5', 'P84022'})"
"frozenset({'IL5', 'P04629', 'Q8ND04'})"
"frozenset({'IL5', 'Q8N490', 'Q8TEB1'})"
"frozenset({'Q12899', 'IL5', 'Q96T60'})"
"frozenset({'IL5', 'Q9H204', 'A0JLT2'})"
"frozenset({'Q8TB36', 'O95870', 'IL5'})"
"frozenset({'IL5', 'Q9Y5A7', 'P28070'})"
"frozenset({'P28222', 'P28221', 'IL5'})"
"frozenset({'IL5', 'Q15388', 'P02647'})"
"frozenset({'IL5', 'Q9H4E5', 'Q52LW3'})"
"frozenset({'IL5', 'P31946', 'P19634'})"
"frozenset({'Q99814', 'IL5', 'Q96S55'})"
"frozenset({'P48730', 'IL5', 'P35968'})"
"frozenset({'Q9UJU6', 'IL5', 'P42574'})"
"frozenset({'Q8IZU0', 'IL5', 'Q9UGP5'})"
"frozenset({'P50222', 'O60336', 'IL5'})"
"frozenset({'IL5', 'Q9Y4W2', 'Q9Y468'})"
"frozenset({'IL5', 'Q8TAQ2', 'P34897'})"
"frozenset({'P42772', 'O14519', 'IL5'})"
"frozenset({'IL5', 'P15170', 'Q96P09'})"
"frozenset({'P62277', 'IL5', 'P84098'})"
"frozenset({'Q13546', 'IL5', 'P60602'})"
"frozenset({'IL5', 'Q96AQ7', 'P16220'})"
"frozenset({'IL5', 'P42830', 'P32246'})"
"frozenset({'IL5', 'P08670', 'Q9BWG6'})"
"frozenset({'P10721', 'IL5', 'Q00722'})"
"frozenset({'P51858', 'IL5', 'P84103'})"
"frozenset({'IL5', 'O60762', 'Q969H0'})"
"frozenset({'Q15910', 'IL5', 'Q13451'})"
"frozenset({'IL5', 'Q9BQ52', 'Q86SX6'})"
"frozenset({'P50222', 'IL5', 'P61952'})"
"frozenset({'Q9UKV8', 'P08238', 'IL5'})"
"frozenset({'P62330', 'IL5', 'Q9HAV4'})"
"frozenset({'P07900', 'IL5', 'Q6J9G0'})"
"frozenset({'IL5', 'O15078', 'P05114'})"
"frozenset({'Q7L590', 'IL5', 'Q9BRT9'})"
"frozenset({'P07437', 'Q08752', 'IL5'})"
"frozenset({'IL5', 'P43358', 'P01891'})"
"frozenset({'P56181', 'IL5', 'P56556'})"
"frozenset({'P33991', 'IL5', 'P55318'})"
"frozenset({'IL5', 'Q16831', 'P51668'})"
"frozenset({'IL5', 'P62280', 'O00567'})"
"frozenset({'Q12974', 'IL5', 'P49354'})"
"frozenset({'IL5', 'P04629', 'P25786'})"
"frozenset({'O14617', 'IL5', 'P21127'})"
"frozenset({'IL5', 'Q8N1B4', 'P09067'})"
"frozenset({'IL5', 'Q9Y580', 'Q66LE6'})"
"frozenset({'P28340', 'P15927', 'IL5'})"
"frozenset({'Q9UM13', 'Q8NHZ8', 'IL5'})"
"frozenset({'IL5', 'Q07627', 'Q96A72'})"
"frozenset({'Q9UBS4', 'IL5', 'P00533'})"
"frozenset({'IL5', 'Q5T3F8', 'Q14254'})"
"frozenset({'IL5', 'P80370', 'Q13705'})"
"frozenset({'Q9UKX7', 'IL5', 'P60983'})"
"frozenset({'P51684', 'IL5', 'P22362'})"
"frozenset({'Q14982', 'P54253', 'IL5'})"
"frozenset({'IL5', 'Q9Y2M5', 'Q7Z4V5'})"
"frozenset({'P61956', 'IL5', 'O95453'})"
"frozenset({'IL5', 'P54852', 'Q03060'})"
"frozenset({'Q8IVT5', 'IL5', 'Q9NWU2'})"
"frozenset({'P08865', 'IL5', 'Q5VVX9'})"
"frozenset({'Q9UPY8', 'IL5', 'Q99757'})"
"frozenset({'Q15628', 'Q07021', 'IL5'})"
"frozenset({'Q9UBB5', 'IL5', 'Q96QR8'})"
"frozenset({'IL5', 'Q9Y4G2', 'O95257'})"
"frozenset({'P07550', 'P04844', 'IL5'})"
"frozenset({'IL5', 'P29459', 'P14784'})"
"frozenset({'IL5', 'P61201', 'Q13568'})"
"frozenset({'P19105', 'IL5', 'Q3YEC7'})"
"frozenset({'P19784', 'IL5', 'Q8N9N2'})"
"frozenset({'Q13627', 'IL5', 'P62258'})"
"frozenset({'P34931', 'Q9NPI6', 'IL5'})"
"frozenset({'P42224', 'P09619', 'IL5'})"
"frozenset({'IL5', 'O60262', 'P54619'})"
"frozenset({'Q01581', 'IL5', 'P20839'})"
"frozenset({'IL5', 'O95159', 'Q13323'})"
"frozenset({'IL5', 'P04792', 'Q9H6T3'})"
"frozenset({'IL5', 'Q9UJY4', 'Q9NZD8'})"
"frozenset({'IL5', 'P82663', 'Q92665'})"
"frozenset({'P49771', 'IL5', 'P17948'})"
"frozenset({'P48431', 'IL5', 'P62699'})"
"frozenset({'P27105', 'IL5', 'Q9NS69'})"
"frozenset({'IL5', 'Q69YU3', 'Q5VZ89'})"
"frozenset({'Q16643', 'IL5', 'Q86UK7'})"
"frozenset({'Q8N5I2', 'Q9UKL0', 'IL5'})"
"frozenset({'Q9BYQ0', 'IL5', 'Q9Y5Y2'})"
"frozenset({'IL5', 'P01106', 'Q8TAQ2'})"
"frozenset({'IL5', 'P16144', 'Q9UKX5'})"
"frozenset({'IL5', 'Q15506', 'Q96C74'})"
"frozenset({'P05067', 'IL5', 'Q9BZJ8'})"
"frozenset({'IL5', 'Q13043', 'Q9H2L5'})"
"frozenset({'IL5', 'Q96QR8', 'Q13148'})"
"frozenset({'IL5', 'P35241', 'P15311'})"
"frozenset({'O75478', 'IL5', 'Q13263'})"
"frozenset({'P05412', 'IL5', 'O15397'})"
"frozenset({'Q99750', 'IL5', 'Q8IYR0'})"
"frozenset({'Q9BQE3', 'IL5', 'Q96RT8'})"
"frozenset({'IL5', 'P06748', 'O95185'})"
"frozenset({'Q99814', 'Q15118', 'IL5'})"
"frozenset({'Q13601', 'IL5', 'P41218'})"
"frozenset({'P26367', 'IL5', 'O15347'})"
"frozenset({'P42167', 'IL5', 'O43918'})"
"frozenset({'Q14696', 'Q9UNH6', 'IL5'})"
"frozenset({'P11802', 'Q96KS0', 'IL5'})"
"frozenset({'IL5', 'Q00597', 'Q0VG06'})"
"frozenset({'Q15022', 'IL5', 'O00571'})"
"frozenset({'Q99759', 'IL5', 'P78527'})"
"frozenset({'O43889', 'IL5', 'Q03060'})"
"frozenset({'P08238', 'IL5', 'Q07002'})"
"frozenset({'Q9BYZ2', 'Q9Y2T3', 'IL5'})"
"frozenset({'O60830', 'IL5', 'Q9BQ83'})"
"frozenset({'Q7L0Q8', 'Q96A73', 'IL5'})"
"frozenset({'P11532', 'P48050', 'IL5'})"
"frozenset({'IL5', 'Q9BZE4', 'Q13610'})"
"frozenset({'Q9UMX0', 'Q53GQ0', 'IL5'})"
"frozenset({'IL5', 'Q9BT78', 'P52292'})"
"frozenset({'Q9BYV9', 'IL5', 'Q3KP44'})"
"frozenset({'P22626', 'IL5', 'O75147'})"
"frozenset({'P23258', 'P36776', 'IL5'})"
"frozenset({'Q07666', 'P01375', 'IL5'})"
"frozenset({'P17542', 'P15923', 'IL5'})"
"frozenset({'Q53EZ4', 'IL5', 'P56279'})"
"frozenset({'P25054', 'Q9H9E3', 'IL5'})"
"frozenset({'Q7Z6Z7', 'IL5', 'P55036'})"
"frozenset({'Q9P258', 'IL5', 'Q5JSL3'})"
"frozenset({'Q9NS85', 'IL5', 'P00966'})"
"frozenset({'Q9BQE3', 'O95834', 'IL5'})"
"frozenset({'IL5', 'Q14653', 'P06400'})"
"frozenset({'P19388', 'Q96PC2', 'IL5'})"
"frozenset({'Q99683', 'IL5', 'Q04917'})"
"frozenset({'Q92569', 'IL5', 'P35916'})"
"frozenset({'IL5', 'Q12778', 'P06400'})"
"frozenset({'IL5', 'O95067', 'Q9BZB8'})"
"frozenset({'Q7Z6Z7', 'Q15018', 'IL5'})"
"frozenset({'Q15717', 'IL5', 'P58546'})"
"frozenset({'Q99877', 'IL5', 'P62993'})"
"frozenset({'Q01094', 'IL5', 'Q6NT32'})"
"frozenset({'P19838', 'IL5', 'O14625'})"
"frozenset({'IL5', 'P23634', 'P22694'})"
"frozenset({'IL5', 'Q9BSE4', 'Q5BKT4'})"
"frozenset({'IL5', 'Q12830', 'P06401'})"
"frozenset({'Q15040', 'P60369', 'IL5'})"
"frozenset({'P42229', 'P43365', 'IL5'})"
"frozenset({'IL5', 'P47756', 'O75436'})"
"frozenset({'IL5', 'P43657', 'Q8WTW3'})"
"frozenset({'O95644', 'IL5', 'Q8TAU0'})"
"frozenset({'P12429', 'IL5', 'Q13432'})"
"frozenset({'Q06432', 'IL5', 'Q00005'})"
"frozenset({'IL5', 'O00303', 'P47813'})"
"frozenset({'P36897', 'IL5', 'Q99972'})"
"frozenset({'Q59EK9', 'Q96S94', 'IL5'})"
"frozenset({'Q9UQ35', 'O00303', 'IL5'})"
"frozenset({'Q5JSH3', 'IL5', 'A8MVW5'})"
"frozenset({'Q9UBS4', 'Q9UL18', 'IL5'})"
"frozenset({'IL5', 'Q12830', 'Q16576'})"
"frozenset({'IL5', 'P22694', 'Q9NZT1'})"
"frozenset({'Q15717', 'IL5', 'Q9UPQ0'})"
"frozenset({'P05362', 'IL5', 'Q71DI3'})"
"frozenset({'Q02297', 'IL5', 'Q8NCW6'})"
"frozenset({'IL5', 'Q9HCE7', 'P62837'})"
"frozenset({'Q9Y5K8', 'P43487', 'IL5'})"
"frozenset({'IL5', 'Q9Y4G6', 'O14929'})"
"frozenset({'IL5', 'Q07866', 'Q7Z5B4'})"
"frozenset({'Q8IUI8', 'Q8TCE9', 'IL5'})"
"frozenset({'P49715', 'IL5', 'Q12778'})"
"frozenset({'IL5', 'P42702', 'P22301'})"
"frozenset({'IL5', 'P29317', 'P26006'})"
"frozenset({'Q13868', 'IL5', 'O43663'})"
"frozenset({'Q9H081', 'IL5', 'O95229'})"
"frozenset({'P08195', 'IL5', 'Q15836'})"
"frozenset({'IL5', 'P04198', 'P34947'})"
"frozenset({'Q96FW1', 'IL5', 'Q9Y478'})"
"frozenset({'Q16877', 'P54646', 'IL5'})"
"frozenset({'Q8N143', 'IL5', 'O15162'})"
"frozenset({'P42285', 'IL5', 'Q9BV68'})"
"frozenset({'IL5', 'Q9NZI8', 'O60260'})"
"frozenset({'Q96EY1', 'IL5', 'P20936'})"
"frozenset({'IL5', 'P22681', 'P35968'})"
"frozenset({'Q8IZ40', 'IL5', 'O60341'})"
"frozenset({'IL5', 'Q6UVJ0', 'Q8IUD2'})"
"frozenset({'P03372', 'IL5', 'P12814'})"
"frozenset({'P29622', 'IL5', 'P06870'})"
"frozenset({'Q9NRA8', 'IL5', 'Q3V5L5'})"
"frozenset({'Q8N8R7', 'IL5', 'O14980'})"
"frozenset({'P39023', 'IL5', 'Q15527'})"
"frozenset({'P62829', 'IL5', 'P62913'})"
"frozenset({'Q8NEM7', 'IL5', 'O75529'})"
"frozenset({'IL5', 'P62753', 'Q15050'})"
"frozenset({'Q99677', 'IL5', 'O60262'})"
"frozenset({'P21964', 'P53701', 'IL5'})"
"frozenset({'IL5', 'P08034', 'P56693'})"
"frozenset({'Q12849', 'Q9Y2R9', 'IL5'})"
"frozenset({'IL5', 'P98177', 'P04040'})"
"frozenset({'IL5', 'Q9HCE1', 'Q8IVB5'})"
"frozenset({'P14384', 'IL5', 'Q8N3V7'})"
"frozenset({'IL5', 'P51532', 'Q8NF64'})"
"frozenset({'IL5', 'P51571', 'Q9UI95'})"
"frozenset({'IL5', 'Q9P2M7', 'Q8WXF0'})"
"frozenset({'Q86YD7', 'IL5', 'Q08379'})"
"frozenset({'IL5', 'P98177', 'P31751'})"
"frozenset({'IL5', 'Q96PK6', 'O75351'})"
"frozenset({'IL5', 'Q92974', 'P00533'})"
"frozenset({'Q9H8W4', 'Q9Y6X0', 'IL5'})"
"frozenset({'IL5', 'P62136', 'Q9Y6X2'})"
"frozenset({'IL5', 'O95785', 'Q8IXM2'})"
"frozenset({'IL5', 'Q99963', 'P35462'})"
"frozenset({'Q8IWL3', 'IL5', 'P19174'})"
"frozenset({'O43791', 'IL5', 'Q13077'})"
"frozenset({'Q9BSW2', 'O60504', 'IL5'})"
"frozenset({'O60336', 'Q5BKY6', 'IL5'})"
"frozenset({'Q16643', 'IL5', 'Q96H55'})"
"frozenset({'Q8WYA1', 'P51449', 'IL5'})"
"frozenset({'IL5', 'P33241', 'P49137'})"
"frozenset({'IL5', 'Q92624', 'Q9Y5X3'})"
"frozenset({'IL5', 'P43490', 'Q86YD3'})"
"frozenset({'P52565', 'IL5', 'P61960'})"
"frozenset({'Q9NSV4', 'P61586', 'IL5'})"
"frozenset({'IL5', 'Q9H2H9', 'O95197'})"
"frozenset({'O00233', 'IL5', 'Q96JN2'})"
"frozenset({'Q9NQ29', 'IL5', 'Q99459'})"
"frozenset({'Q9UL58', 'P08238', 'IL5'})"
"frozenset({'P40926', 'IL5', 'P61960'})"
"frozenset({'Q8IVM0', 'Q01844', 'IL5'})"
"frozenset({'IL5', 'Q99607', 'Q9Y6X2'})"
"frozenset({'IL5', 'Q96ND0', 'O14579'})"
"frozenset({'O95819', 'Q16778', 'IL5'})"
"frozenset({'Q9Y3U8', 'IL5', 'Q02878'})"
"frozenset({'Q14103', 'IL5', 'Q86V81'})"
"frozenset({'IL5', 'Q9NRC8', 'Q16555'})"
"frozenset({'IL5', 'O00429', 'Q9NQG6'})"
"frozenset({'Q5TA76', 'IL5', 'Q6L8G4'})"
"frozenset({'P30480', 'IL5', 'P10599'})"
"frozenset({'Q13485', 'Q00597', 'IL5'})"
"frozenset({'IL5', 'O43684', 'Q16186'})"
"frozenset({'IL5', 'P30307', 'P14635'})"
"frozenset({'P34932', 'Q13217', 'IL5'})"
"frozenset({'IL5', 'P07947', 'Q12905'})"
"frozenset({'Q13323', 'IL5', 'Q9H2L4'})"
"frozenset({'P52926', 'O95644', 'IL5'})"
"frozenset({'IL5', 'Q9H4E5', 'Q9UNA1'})"
"frozenset({'IL5', 'Q9Y4W2', 'Q9NXF1'})"
"frozenset({'IL5', 'P10275', 'P40337'})"
"frozenset({'P49761', 'IL5', 'Q16543'})"
"frozenset({'Q99873', 'IL5', 'Q8IYI0'})"
"frozenset({'IL5', 'Q9NZI8', 'P01889'})"
"frozenset({'IL5', 'Q8WUM0', 'P02545'})"
"frozenset({'O15355', 'IL5', 'Q86VP6'})"
"frozenset({'P41220', 'IL5', 'O95858'})"
"frozenset({'IL5', 'Q9H7N4', 'P61326'})"
"frozenset({'IL5', 'Q92905', 'Q8WV16'})"
"frozenset({'Q13547', 'Q01167', 'IL5'})"
"frozenset({'P29016', 'Q8IXK2', 'IL5'})"
"frozenset({'IL5', 'P04629', 'P82650'})"
"frozenset({'O00560', 'P49639', 'IL5'})"
"frozenset({'IL5', 'O75044', 'Q8NEY1'})"
"frozenset({'IL5', 'Q96T58', 'P48436'})"
"frozenset({'Q13561', 'IL5', 'P24928'})"
"frozenset({'IL5', 'P17028', 'P63279'})"
"frozenset({'IL5', 'Q96PG8', 'P00533'})"
"frozenset({'P31749', 'IL5', 'Q14643'})"
"frozenset({'IL5', 'O95747', 'Q08AF3'})"
"frozenset({'Q12982', 'Q9NRZ7', 'IL5'})"
"frozenset({'IL5', 'P13646', 'P35900'})"
"frozenset({'Q07890', 'IL5', 'Q9UJM3'})"
"frozenset({'IL5', 'P21796', 'Q5T6F2'})"
"frozenset({'Q9UBW7', 'IL5', 'Q6K0P9'})"
"frozenset({'Q8WUM4', 'IL5', 'P28482'})"
"frozenset({'Q15654', 'P15976', 'IL5'})"
"frozenset({'Q96RR1', 'P09496', 'IL5'})"
"frozenset({'Q14680', 'IL5', 'Q9UPQ3'})"
"frozenset({'IL5', 'P51677', 'O95715'})"
"frozenset({'IL5', 'P08069', 'P49023'})"
"frozenset({'IL5', 'P0C862', 'B2RNN3'})"
"frozenset({'IL5', 'P04792', 'P02794'})"
"frozenset({'IL5', 'Q8N4P2', 'Q6NTF9'})"
"frozenset({'Q96JG6', 'IL5', 'Q96EK4'})"
"frozenset({'Q8NGK6', 'P17612', 'IL5'})"
"frozenset({'IL5', 'Q8N122', 'Q5VZ89'})"
"frozenset({'IL5', 'P55072', 'Q14694'})"
"frozenset({'Q96AP7', 'Q96B33', 'IL5'})"
"frozenset({'Q12873', 'IL5', 'Q10586'})"
"frozenset({'IL5', 'O95433', 'Q9Y5H5'})"
"frozenset({'Q8TBB1', 'P05067', 'IL5'})"
"frozenset({'Q15029', 'P25788', 'IL5'})"
"frozenset({'P28340', 'IL5', 'Q13573'})"
"frozenset({'IL5', 'P31040', 'Q9Y241'})"
"frozenset({'Q9HAU0', 'IL5', 'Q9NU53'})"
"frozenset({'IL5', 'Q8TC57', 'Q9HB19'})"
"frozenset({'IL5', 'Q9GZP9', 'Q9UKV5'})"
"frozenset({'P56645', 'Q12968', 'IL5'})"
"frozenset({'Q8TBK6', 'IL5', 'Q96BR9'})"
"frozenset({'IL5', 'O60518', 'Q8IX06'})"
"frozenset({'P50151', 'IL5', 'P48544'})"
"frozenset({'IL5', 'Q00765', 'Q9Y2K7'})"
"frozenset({'P10909', 'P05067', 'IL5'})"
"frozenset({'IL5', 'Q9UHQ1', 'P62837'})"
"frozenset({'O43189', 'Q13547', 'IL5'})"
"frozenset({'Q8NCR0', 'IL5', 'P22304'})"
"frozenset({'IL5', 'Q6UN15', 'Q08379'})"
"frozenset({'IL5', 'P29144', 'O75663'})"
"frozenset({'Q16643', 'IL5', 'P53675'})"
"frozenset({'Q13315', 'IL5', 'P50750'})"
"frozenset({'IL5', 'Q9NR80', 'O14640'})"
"frozenset({'O95817', 'IL5', 'P21291'})"
"frozenset({'IL5', 'Q96DT7', 'Q01167'})"
"frozenset({'IL5', 'Q13485', 'O14744'})"
