negatives
"frozenset({'Alpha6Beta4Integrin', 'P55854', 'Q02218'})"
"frozenset({'Q86XA0', 'Alpha6Beta4Integrin', 'Q07817'})"
"frozenset({'A4D161', 'Alpha6Beta4Integrin', 'P55854'})"
"frozenset({'Alpha6Beta4Integrin', 'P63244', 'Q8NI37'})"
"frozenset({'P27361', 'Alpha6Beta4Integrin', 'P06213'})"
"frozenset({'Q12768', 'P35244', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P56747', 'O15551'})"
"frozenset({'O14893', 'Alpha6Beta4Integrin', 'P28358'})"
"frozenset({'Alpha6Beta4Integrin', 'P30305', 'O95544'})"
"frozenset({'Q6IQ23', 'Alpha6Beta4Integrin', 'Q16643'})"
"frozenset({'Q7Z4H7', 'Alpha6Beta4Integrin', 'Q8IWL3'})"
"frozenset({'Alpha6Beta4Integrin', 'Q13867', 'P19838'})"
"frozenset({'Q6R327', 'Alpha6Beta4Integrin', 'P38398'})"
"frozenset({'Q5S007', 'Alpha6Beta4Integrin', 'P12270'})"
"frozenset({'Alpha6Beta4Integrin', 'Q8WVV9', 'O75553'})"
"frozenset({'P35244', 'Alpha6Beta4Integrin', 'Q969X5'})"
"frozenset({'Alpha6Beta4Integrin', 'P31947', 'P61289'})"
"frozenset({'Q9UM73', 'Alpha6Beta4Integrin', 'P52333'})"
"frozenset({'O14810', 'P63027', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9Y6E7', 'Alpha6Beta4Integrin', 'P10809'})"
"frozenset({'Q8IZH2', 'P48960', 'Alpha6Beta4Integrin'})"
"frozenset({'O60504', 'Alpha6Beta4Integrin', 'P08247'})"
"frozenset({'P40925', 'Alpha6Beta4Integrin', 'P31040'})"
"frozenset({'Alpha6Beta4Integrin', 'O94763', 'Q9HB71'})"
"frozenset({'Alpha6Beta4Integrin', 'Q01718', 'O95467'})"
"frozenset({'Alpha6Beta4Integrin', 'O15350', 'Q96J94'})"
"frozenset({'Alpha6Beta4Integrin', 'Q96IW7', 'Q13190'})"
"frozenset({'Q9NRG1', 'Alpha6Beta4Integrin', 'O60941'})"
"frozenset({'O95793', 'Alpha6Beta4Integrin', 'Q9P035'})"
"frozenset({'Q6PF06', 'Alpha6Beta4Integrin', 'Q9Y399'})"
"frozenset({'Alpha6Beta4Integrin', 'P14868', 'P04629'})"
"frozenset({'Q8IY18', 'Alpha6Beta4Integrin', 'Q8WV22'})"
"frozenset({'Q8NFJ5', 'Alpha6Beta4Integrin', 'P00533'})"
"frozenset({'Q15615', 'Alpha6Beta4Integrin', 'P22612'})"
"frozenset({'Alpha6Beta4Integrin', 'Q13618', 'Q6DKI1'})"
"frozenset({'Alpha6Beta4Integrin', 'O75367', 'Q99877'})"
"frozenset({'Q13064', 'Alpha6Beta4Integrin', 'O75800'})"
"frozenset({'P62993', 'Q13796', 'Alpha6Beta4Integrin'})"
"frozenset({'Q6ZW49', 'Alpha6Beta4Integrin', 'Q13283'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9NQC7', 'O60502'})"
"frozenset({'P18124', 'Alpha6Beta4Integrin', 'P60866'})"
"frozenset({'Alpha6Beta4Integrin', 'Q99871', 'P13224'})"
"frozenset({'Q5VYK3', 'Alpha6Beta4Integrin', 'P35580'})"
"frozenset({'Q8IYB3', 'P14866', 'Alpha6Beta4Integrin'})"
"frozenset({'P61086', 'P10599', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q12906', 'Q7L2J0'})"
"frozenset({'P01106', 'Alpha6Beta4Integrin', 'Q9Y676'})"
"frozenset({'Q9BTE6', 'Alpha6Beta4Integrin', 'P27694'})"
"frozenset({'Q99729', 'Alpha6Beta4Integrin', 'Q9UJV9'})"
"frozenset({'P55072', 'Alpha6Beta4Integrin', 'Q8NHG7'})"
"frozenset({'Alpha6Beta4Integrin', 'Q15029', 'O95433'})"
"frozenset({'O75410', 'Alpha6Beta4Integrin', 'Q14008'})"
"frozenset({'Q9BZR9', 'Alpha6Beta4Integrin', 'Q9HBD1'})"
"frozenset({'Q6P1W5', 'Alpha6Beta4Integrin', 'Q9UHD9'})"
"frozenset({'Q9NQ66', 'Alpha6Beta4Integrin', 'P35968'})"
"frozenset({'Alpha6Beta4Integrin', 'P49454', 'Q9Y6A5'})"
"frozenset({'Alpha6Beta4Integrin', 'O60812', 'Q92734'})"
"frozenset({'O14933', 'Alpha6Beta4Integrin', 'Q6UVK1'})"
"frozenset({'Q5M9Q1', 'Alpha6Beta4Integrin', 'P38398'})"
"frozenset({'P15311', 'Alpha6Beta4Integrin', 'P35222'})"
"frozenset({'P61604', 'Alpha6Beta4Integrin', 'P10768'})"
"frozenset({'Q9BRK4', 'Q8TAU3', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9BPZ7', 'Alpha6Beta4Integrin', 'O60934'})"
"frozenset({'Alpha6Beta4Integrin', 'Q969M3', 'Q9Y6K0'})"
"frozenset({'Alpha6Beta4Integrin', 'P16284', 'P12956'})"
"frozenset({'Alpha6Beta4Integrin', 'Q96Q05', 'Q9HCE1'})"
"frozenset({'Alpha6Beta4Integrin', 'P23193', 'P17844'})"
"frozenset({'Q02750', 'Alpha6Beta4Integrin', 'Q15717'})"
"frozenset({'Alpha6Beta4Integrin', 'Q16568', 'P21912'})"
"frozenset({'Q9HCT0', 'Alpha6Beta4Integrin', 'P35916'})"
"frozenset({'Q9UKB1', 'Q9GZL7', 'Alpha6Beta4Integrin'})"
"frozenset({'P07108', 'P17931', 'Alpha6Beta4Integrin'})"
"frozenset({'P51668', 'Alpha6Beta4Integrin', 'Q9UII4'})"
"frozenset({'Q14999', 'Alpha6Beta4Integrin', 'Q13573'})"
"frozenset({'P28370', 'Alpha6Beta4Integrin', 'Q06330'})"
"frozenset({'Alpha6Beta4Integrin', 'P61201', 'Q13619'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9BV73', 'Q3V6T2'})"
"frozenset({'Alpha6Beta4Integrin', 'P17041', 'Q9BWT7'})"
"frozenset({'Q9BYR8', 'Q96LM6', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9P2P5', 'Q9Y2X0'})"
"frozenset({'Q96CB9', 'Alpha6Beta4Integrin', 'Q8WVZ9'})"
"frozenset({'Alpha6Beta4Integrin', 'P50749', 'P16298'})"
"frozenset({'Alpha6Beta4Integrin', 'P42224', 'P51532'})"
"frozenset({'Q8N3Y1', 'Alpha6Beta4Integrin', 'Q9H0W5'})"
"frozenset({'P09972', 'Alpha6Beta4Integrin', 'P36915'})"
"frozenset({'O00716', 'Alpha6Beta4Integrin', 'P09874'})"
"frozenset({'Alpha6Beta4Integrin', 'Q5VVQ6', 'P08237'})"
"frozenset({'Q96ST3', 'P51608', 'Alpha6Beta4Integrin'})"
"frozenset({'P16144', 'P53420', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q8IZP0', 'Q07890'})"
"frozenset({'Q7Z434', 'Alpha6Beta4Integrin', 'Q92844'})"
"frozenset({'P40763', 'Alpha6Beta4Integrin', 'O60341'})"
"frozenset({'Alpha6Beta4Integrin', 'Q63HK5', 'Q9Y2V7'})"
"frozenset({'P83731', 'Alpha6Beta4Integrin', 'Q86VP6'})"
"frozenset({'P82933', 'Alpha6Beta4Integrin', 'Q86VP6'})"
"frozenset({'P84022', 'Alpha6Beta4Integrin', 'Q13501'})"
"frozenset({'P78417', 'Alpha6Beta4Integrin', 'Q15047'})"
"frozenset({'P12830', 'Alpha6Beta4Integrin', 'O14745'})"
"frozenset({'Alpha6Beta4Integrin', 'P20333', 'P43003'})"
"frozenset({'Q9NQL9', 'Alpha6Beta4Integrin', 'P15884'})"
"frozenset({'Alpha6Beta4Integrin', 'Q8NFH8', 'Q9Y6I3'})"
"frozenset({'Q9P0I2', 'Alpha6Beta4Integrin', 'Q9UN42'})"
"frozenset({'Q9Y5N6', 'Alpha6Beta4Integrin', 'Q8TD16'})"
"frozenset({'Alpha6Beta4Integrin', 'O43610', 'O60336'})"
"frozenset({'P06753', 'Alpha6Beta4Integrin', 'Q9BTW9'})"
"frozenset({'Alpha6Beta4Integrin', 'P38936', 'P19419'})"
"frozenset({'Q99623', 'Alpha6Beta4Integrin', 'P13073'})"
"frozenset({'P55072', 'Alpha6Beta4Integrin', 'Q6ZTN6'})"
"frozenset({'Q86SX6', 'Alpha6Beta4Integrin', 'P0C7P0'})"
"frozenset({'P61081', 'P51636', 'Alpha6Beta4Integrin'})"
"frozenset({'P0DML2', 'Alpha6Beta4Integrin', 'P48551'})"
"frozenset({'Q9Y6H1', 'O43847', 'Alpha6Beta4Integrin'})"
"frozenset({'P05013', 'P40238', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9BRK4', 'Alpha6Beta4Integrin', 'Q9BSD3'})"
"frozenset({'Alpha6Beta4Integrin', 'Q8N1F7', 'Q9BVL2'})"
"frozenset({'P04083', 'Alpha6Beta4Integrin', 'P01730'})"
"frozenset({'P09496', 'Alpha6Beta4Integrin', 'Q14008'})"
"frozenset({'Q07627', 'Q9H2X0', 'Alpha6Beta4Integrin'})"
"frozenset({'P17036', 'Alpha6Beta4Integrin', 'Q15427'})"
"frozenset({'Alpha6Beta4Integrin', 'Q99490', 'P31749'})"
"frozenset({'Alpha6Beta4Integrin', 'P53365', 'Q13352'})"
"frozenset({'P21333', 'P49917', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P10768', 'Q8TBE9'})"
"frozenset({'O43187', 'Alpha6Beta4Integrin', 'Q16543'})"
"frozenset({'Q5S007', 'Alpha6Beta4Integrin', 'P12004'})"
"frozenset({'Q96A35', 'Alpha6Beta4Integrin', 'Q9H0U6'})"
"frozenset({'Alpha6Beta4Integrin', 'Q6VAB6', 'P61981'})"
"frozenset({'Alpha6Beta4Integrin', 'P62891', 'Q99459'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9ULW0', 'P52294'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9UBU9', 'O75351'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9BXY8', 'P43364'})"
"frozenset({'Q13153', 'Alpha6Beta4Integrin', 'Q9NPC7'})"
"frozenset({'Q9BSU1', 'P01011', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P23508', 'Q00610'})"
"frozenset({'Alpha6Beta4Integrin', 'Q13526', 'P15056'})"
"frozenset({'Q9UHA4', 'P47897', 'Alpha6Beta4Integrin'})"
"frozenset({'P40692', 'Alpha6Beta4Integrin', 'P07355'})"
"frozenset({'Alpha6Beta4Integrin', 'Q13255', 'Q96LZ3'})"
"frozenset({'P60520', 'Alpha6Beta4Integrin', 'Q969T9'})"
"frozenset({'Alpha6Beta4Integrin', 'Q00653', 'O00231'})"
"frozenset({'Alpha6Beta4Integrin', 'P20700', 'Q9H040'})"
"frozenset({'Q9HCH0', 'Alpha6Beta4Integrin', 'Q7Z7A1'})"
"frozenset({'Q15459', 'Alpha6Beta4Integrin', 'P20618'})"
"frozenset({'Q8TDR0', 'Alpha6Beta4Integrin', 'Q9UPN3'})"
"frozenset({'Alpha6Beta4Integrin', 'P51149', 'Q9H269'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9UK41', 'Q0VD86'})"
"frozenset({'Alpha6Beta4Integrin', 'P43364', 'Q6P5X5'})"
"frozenset({'O94916', 'Alpha6Beta4Integrin', 'Q08209'})"
"frozenset({'Q01860', 'Alpha6Beta4Integrin', 'P63261'})"
"frozenset({'P07311', 'Alpha6Beta4Integrin', 'P05067'})"
"frozenset({'Q14103', 'Alpha6Beta4Integrin', 'Q7L2J0'})"
"frozenset({'Alpha6Beta4Integrin', 'P05067', 'P54652'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9H160', 'Q12824'})"
"frozenset({'Q16594', 'Alpha6Beta4Integrin', 'P05067'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9NRM7', 'Q9H1A4'})"
"frozenset({'Q08379', 'Alpha6Beta4Integrin', 'P25800'})"
"frozenset({'Alpha6Beta4Integrin', 'Q8IWX8', 'Q13573'})"
"frozenset({'Alpha6Beta4Integrin', 'P21549', 'P53539'})"
"frozenset({'Alpha6Beta4Integrin', 'Q3SYF9', 'Q15038'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9BYR6', 'Q9NP84'})"
"frozenset({'Alpha6Beta4Integrin', 'Q8IZP0', 'P07332'})"
"frozenset({'Alpha6Beta4Integrin', 'Q63ZY3', 'Q8IZD4'})"
"frozenset({'Q71F23', 'Q6ZW49', 'Alpha6Beta4Integrin'})"
"frozenset({'Q13404', 'Alpha6Beta4Integrin', 'O60701'})"
"frozenset({'Alpha6Beta4Integrin', 'P0C1Z6', 'Q6P4R8'})"
"frozenset({'Q14684', 'Alpha6Beta4Integrin', 'P62136'})"
"frozenset({'P41235', 'P56524', 'Alpha6Beta4Integrin'})"
"frozenset({'P40337', 'Alpha6Beta4Integrin', 'Q9BQG0'})"
"frozenset({'Alpha6Beta4Integrin', 'Q92997', 'Q9H3F6'})"
"frozenset({'Q5FBB7', 'Alpha6Beta4Integrin', 'Q53HL2'})"
"frozenset({'Q15369', 'Alpha6Beta4Integrin', 'Q96FW1'})"
"frozenset({'Alpha6Beta4Integrin', 'P54289', 'O14498'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9NX24', 'O14980'})"
"frozenset({'Q9UIV1', 'P11802', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P16220', 'Q9P2F5'})"
"frozenset({'O60503', 'O00214', 'Alpha6Beta4Integrin'})"
"frozenset({'Q04759', 'Alpha6Beta4Integrin', 'P02545'})"
"frozenset({'Q9UJ41', 'Q96EK4', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q96MX0', 'Q9UI14'})"
"frozenset({'Alpha6Beta4Integrin', 'P15374', 'P14373'})"
"frozenset({'Alpha6Beta4Integrin', 'Q96QF0', 'Q6ZW31'})"
"frozenset({'P14923', 'Q9HCS4', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q5T3J3', 'Q15047'})"
"frozenset({'Q8IUH5', 'Alpha6Beta4Integrin', 'Q02297'})"
"frozenset({'Q9UKX2', 'Alpha6Beta4Integrin', 'P09493'})"
"frozenset({'Q09472', 'Alpha6Beta4Integrin', 'P61201'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9BWD3', 'Q12988'})"
"frozenset({'Q9NRX2', 'Q14197', 'Alpha6Beta4Integrin'})"
"frozenset({'P17483', 'Alpha6Beta4Integrin', 'P23511'})"
"frozenset({'P17302', 'A6NHL2', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q96HN2', 'Q9HAZ1'})"
"frozenset({'Alpha6Beta4Integrin', 'O75716', 'Q93063'})"
"frozenset({'Alpha6Beta4Integrin', 'P06748', 'Q7L2H7'})"
"frozenset({'O95197', 'Alpha6Beta4Integrin', 'Q8N612'})"
"frozenset({'P46937', 'Alpha6Beta4Integrin', 'Q8TEW0'})"
"frozenset({'Alpha6Beta4Integrin', 'P20138', 'Q6A162'})"
"frozenset({'Alpha6Beta4Integrin', 'P48431', 'O15350'})"
"frozenset({'Q92905', 'Alpha6Beta4Integrin', 'Q96AE4'})"
"frozenset({'Alpha6Beta4Integrin', 'O43390', 'Q9UBU8'})"
"frozenset({'Alpha6Beta4Integrin', 'Q96EZ8', 'Q8TCW9'})"
"frozenset({'P62993', 'Alpha6Beta4Integrin', 'Q15750'})"
"frozenset({'Q9Y5R8', 'Alpha6Beta4Integrin', 'Q96QF0'})"
"frozenset({'Q9UGY1', 'Alpha6Beta4Integrin', 'Q13601'})"
"frozenset({'Alpha6Beta4Integrin', 'Q14839', 'Q8IWS0'})"
"frozenset({'Q9UHD2', 'Alpha6Beta4Integrin', 'P01375'})"
"frozenset({'Q96I51', 'Alpha6Beta4Integrin', 'Q9BYC9'})"
"frozenset({'P13612', 'Alpha6Beta4Integrin', 'Q14671'})"
"frozenset({'Alpha6Beta4Integrin', 'Q8TDY2', 'Q9Y4P8'})"
"frozenset({'Alpha6Beta4Integrin', 'O00212', 'Q8N264'})"
"frozenset({'Alpha6Beta4Integrin', 'P53999', 'P10914'})"
"frozenset({'Alpha6Beta4Integrin', 'Q53T94', 'Q00013'})"
"frozenset({'Alpha6Beta4Integrin', 'P0DP25', 'O15111'})"
"frozenset({'Q9Y6E7', 'Alpha6Beta4Integrin', 'Q13309'})"
"frozenset({'Alpha6Beta4Integrin', 'Q12933', 'Q7L5A3'})"
"frozenset({'Alpha6Beta4Integrin', 'P09874', 'P50914'})"
"frozenset({'O43396', 'Alpha6Beta4Integrin', 'Q13838'})"
"frozenset({'P05413', 'Alpha6Beta4Integrin', 'P04629'})"
"frozenset({'P18146', 'Alpha6Beta4Integrin', 'O95626'})"
"frozenset({'P15498', 'Alpha6Beta4Integrin', 'P07437'})"
"frozenset({'Alpha6Beta4Integrin', 'P03372', 'P13639'})"
"frozenset({'P15822', 'Q02575', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P35611', 'P28289'})"
"frozenset({'Alpha6Beta4Integrin', 'Q13554', 'Q08499'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9P1U0', 'Q99678'})"
"frozenset({'Alpha6Beta4Integrin', 'O60763', 'O15027'})"
"frozenset({'Alpha6Beta4Integrin', 'P33992', 'Q16531'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9UNE7', 'Q14190'})"
"frozenset({'Alpha6Beta4Integrin', 'Q969S8', 'Q8IUE6'})"
"frozenset({'P04264', 'Alpha6Beta4Integrin', 'Q7Z3Y9'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9H3S7', 'Q7Z3S9'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9BQ39', 'Q9H9Z2'})"
"frozenset({'Alpha6Beta4Integrin', 'Q15007', 'Q15750'})"
"frozenset({'Q96GG9', 'Alpha6Beta4Integrin', 'P08238'})"
"frozenset({'Q9Y2X8', 'Alpha6Beta4Integrin', 'Q9Y508'})"
"frozenset({'Alpha6Beta4Integrin', 'P35240', 'Q96C36'})"
"frozenset({'Q01860', 'Alpha6Beta4Integrin', 'P08579'})"
"frozenset({'Q13404', 'Alpha6Beta4Integrin', 'P0DP25'})"
"frozenset({'P22392', 'Alpha6Beta4Integrin', 'C9JRZ8'})"
"frozenset({'Q15005', 'Alpha6Beta4Integrin', 'Q5JRA6'})"
"frozenset({'Alpha6Beta4Integrin', 'P10321', 'P13637'})"
"frozenset({'Alpha6Beta4Integrin', 'Q8TAD8', 'Q9NRR4'})"
"frozenset({'P47755', 'Q9P0K7', 'Alpha6Beta4Integrin'})"
"frozenset({'P04792', 'Alpha6Beta4Integrin', 'P49721'})"
"frozenset({'Alpha6Beta4Integrin', 'O00237', 'P62837'})"
"frozenset({'Q9HCM9', 'Alpha6Beta4Integrin', 'P51965'})"
"frozenset({'O96008', 'P62942', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9BVX2', 'Q96EC8'})"
"frozenset({'O43306', 'Alpha6Beta4Integrin', 'Q9NZT1'})"
"frozenset({'Alpha6Beta4Integrin', 'Q8N684', 'O00213'})"
"frozenset({'Q9Y6E2', 'Q9UI10', 'Alpha6Beta4Integrin'})"
"frozenset({'P41212', 'Alpha6Beta4Integrin', 'Q14112'})"
"frozenset({'O95751', 'Q92530', 'Alpha6Beta4Integrin'})"
"frozenset({'Q96HA7', 'Alpha6Beta4Integrin', 'Q9Y6X3'})"
"frozenset({'Alpha6Beta4Integrin', 'Q8N122', 'Q6PJG6'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9H7L9', 'Q16531'})"
"frozenset({'Q3B820', 'P47897', 'Alpha6Beta4Integrin'})"
"frozenset({'P30273', 'O00329', 'Alpha6Beta4Integrin'})"
"frozenset({'Q13875', 'Alpha6Beta4Integrin', 'P60331'})"
"frozenset({'Alpha6Beta4Integrin', 'P48729', 'Q9Y597'})"
"frozenset({'Alpha6Beta4Integrin', 'Q16881', 'P03372'})"
"frozenset({'Alpha6Beta4Integrin', 'P25963', 'P20807'})"
"frozenset({'Q6PKG0', 'Alpha6Beta4Integrin', 'Q86VP6'})"
"frozenset({'P42771', 'Alpha6Beta4Integrin', 'O95155'})"
"frozenset({'A0JLT2', 'P68104', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9NSC2', 'Alpha6Beta4Integrin', 'Q12948'})"
"frozenset({'Alpha6Beta4Integrin', 'Q6UVK1', 'P51965'})"
"frozenset({'Alpha6Beta4Integrin', 'P62701', 'P62979'})"
"frozenset({'Alpha6Beta4Integrin', 'P11802', 'P28340'})"
"frozenset({'P27348', 'Alpha6Beta4Integrin', 'P30291'})"
"frozenset({'P61604', 'Alpha6Beta4Integrin', 'Q5T3J3'})"
"frozenset({'P07237', 'Alpha6Beta4Integrin', 'Q6NWY9'})"
"frozenset({'P08670', 'Alpha6Beta4Integrin', 'P05067'})"
"frozenset({'Alpha6Beta4Integrin', 'Q14839', 'O00358'})"
"frozenset({'Alpha6Beta4Integrin', 'P32302', 'O00626'})"
"frozenset({'Alpha6Beta4Integrin', 'P12931', 'Q9UNE7'})"
"frozenset({'P56539', 'Alpha6Beta4Integrin', 'Q15185'})"
"frozenset({'P05177', 'Alpha6Beta4Integrin', 'P16435'})"
"frozenset({'P34932', 'Alpha6Beta4Integrin', 'Q8IXT1'})"
"frozenset({'Alpha6Beta4Integrin', 'Q16659', 'P30876'})"
"frozenset({'Q9UJV3', 'Alpha6Beta4Integrin', 'Q5VTD9'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9Y277', 'P25705'})"
"frozenset({'Alpha6Beta4Integrin', 'O43920', 'O96000'})"
"frozenset({'Alpha6Beta4Integrin', 'Q13616', 'P32969'})"
"frozenset({'O75478', 'P51610', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q92734', 'P52597'})"
"frozenset({'Alpha6Beta4Integrin', 'Q14686', 'P35637'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9NZR4', 'O95396'})"
"frozenset({'Q9UPX8', 'Alpha6Beta4Integrin', 'Q14247'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9UEY8', 'Q8N3V7'})"
"frozenset({'Q6ZTW0', 'Alpha6Beta4Integrin', 'Q9Y2D8'})"
"frozenset({'Alpha6Beta4Integrin', 'Q96TC7', 'O14979'})"
"frozenset({'P04899', 'Alpha6Beta4Integrin', 'Q969X5'})"
"frozenset({'P61457', 'Alpha6Beta4Integrin', 'P30520'})"
"frozenset({'Alpha6Beta4Integrin', 'P48556', 'O00487'})"
"frozenset({'Q9H788', 'Alpha6Beta4Integrin', 'Q8NHQ1'})"
"frozenset({'Alpha6Beta4Integrin', 'O00159', 'P20839'})"
"frozenset({'Alpha6Beta4Integrin', 'P62873', 'Q8N148'})"
"frozenset({'Q9BYJ1', 'Alpha6Beta4Integrin', 'Q49A26'})"
"frozenset({'P41218', 'Alpha6Beta4Integrin', 'P42285'})"
"frozenset({'O15498', 'Alpha6Beta4Integrin', 'O60763'})"
"frozenset({'P30954', 'P25098', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q96DN5', 'Q5TB80'})"
"frozenset({'Q495W5', 'Alpha6Beta4Integrin', 'P13727'})"
"frozenset({'P01023', 'Alpha6Beta4Integrin', 'Q9UKR3'})"
"frozenset({'Q5T700', 'Alpha6Beta4Integrin', 'Q96K78'})"
"frozenset({'P61968', 'Q9UKT9', 'Alpha6Beta4Integrin'})"
"frozenset({'Q96LC9', 'Alpha6Beta4Integrin', 'P28482'})"
"frozenset({'Q13404', 'Alpha6Beta4Integrin', 'Q9BXL6'})"
"frozenset({'Alpha6Beta4Integrin', 'P00533', 'Q9UQE7'})"
"frozenset({'O75031', 'Alpha6Beta4Integrin', 'Q9P127'})"
"frozenset({'Q12796', 'Alpha6Beta4Integrin', 'Q92731'})"
"frozenset({'Alpha6Beta4Integrin', 'P35226', 'Q96IZ7'})"
"frozenset({'Alpha6Beta4Integrin', 'Q05952', 'Q92997'})"
"frozenset({'P42684', 'Alpha6Beta4Integrin', 'Q9UL15'})"
"frozenset({'Alpha6Beta4Integrin', 'O43318', 'Q13131'})"
"frozenset({'Alpha6Beta4Integrin', 'Q8N960', 'Q96M89'})"
"frozenset({'Q15025', 'Alpha6Beta4Integrin', 'Q92567'})"
"frozenset({'Alpha6Beta4Integrin', 'Q96JP2', 'P14136'})"
"frozenset({'Q9NZL4', 'Alpha6Beta4Integrin', 'Q6UWE0'})"
"frozenset({'Alpha6Beta4Integrin', 'Q8TF42', 'P62837'})"
"frozenset({'Alpha6Beta4Integrin', 'Q16763', 'Q9Y5L0'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9H211', 'P11387'})"
"frozenset({'Alpha6Beta4Integrin', 'P24941', 'P26599'})"
"frozenset({'Q12857', 'P62753', 'Alpha6Beta4Integrin'})"
"frozenset({'P51828', 'Alpha6Beta4Integrin', 'Q8WZA2'})"
"frozenset({'P04350', 'Alpha6Beta4Integrin', 'P11021'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9H9B1', 'P54253'})"
"frozenset({'P07900', 'Alpha6Beta4Integrin', 'Q9C040'})"
"frozenset({'Alpha6Beta4Integrin', 'P28482', 'P98177'})"
"frozenset({'Alpha6Beta4Integrin', 'Q92614', 'Q9P2M7'})"
"frozenset({'Alpha6Beta4Integrin', 'O75603', 'Q8IUC2'})"
"frozenset({'Alpha6Beta4Integrin', 'P01106', 'P42704'})"
"frozenset({'Alpha6Beta4Integrin', 'P05412', 'Q9UPN9'})"
"frozenset({'P22301', 'Alpha6Beta4Integrin', 'P00533'})"
"frozenset({'P32121', 'Alpha6Beta4Integrin', 'Q8NGF1'})"
"frozenset({'P07384', 'Alpha6Beta4Integrin', 'O95817'})"
"frozenset({'Q9C0F1', 'Alpha6Beta4Integrin', 'Q96MT8'})"
"frozenset({'Q99750', 'Alpha6Beta4Integrin', 'Q96HB5'})"
"frozenset({'P53350', 'Alpha6Beta4Integrin', 'P05067'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9Y4F9', 'Q9NZM1'})"
"frozenset({'O75593', 'Q8TBY0', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P42345', 'P30101'})"
"frozenset({'Alpha6Beta4Integrin', 'Q96EQ0', 'P51805'})"
"frozenset({'Alpha6Beta4Integrin', 'P11308', 'Q93008'})"
"frozenset({'O43248', 'Alpha6Beta4Integrin', 'P84022'})"
"frozenset({'P40937', 'Alpha6Beta4Integrin', 'Q00403'})"
"frozenset({'P06730', 'Alpha6Beta4Integrin', 'P35568'})"
"frozenset({'P12830', 'Alpha6Beta4Integrin', 'O96019'})"
"frozenset({'Q13323', 'Alpha6Beta4Integrin', 'Q14416'})"
"frozenset({'Q07021', 'Q05655', 'Alpha6Beta4Integrin'})"
"frozenset({'P78371', 'Alpha6Beta4Integrin', 'Q9UHV7'})"
"frozenset({'Alpha6Beta4Integrin', 'P03971', 'Q9NVJ2'})"
"frozenset({'O75364', 'Alpha6Beta4Integrin', 'Q15233'})"
"frozenset({'Q2NKX9', 'Q9NX55', 'Alpha6Beta4Integrin'})"
"frozenset({'P43146', 'Alpha6Beta4Integrin', 'P12980'})"
"frozenset({'Alpha6Beta4Integrin', 'Q04917', 'O95817'})"
"frozenset({'Alpha6Beta4Integrin', 'O60711', 'P25800'})"
"frozenset({'Q13200', 'Alpha6Beta4Integrin', 'Q99459'})"
