negatives
"frozenset({'Q14257', 'Alpha6Beta4Integrin', 'Q7Z6J6'})"
"frozenset({'P57730', 'Alpha6Beta4Integrin', 'P29466'})"
"frozenset({'Alpha6Beta4Integrin', 'P02765', 'P31749'})"
"frozenset({'Alpha6Beta4Integrin', 'Q13094', 'P62258'})"
"frozenset({'P10721', 'O00329', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9Y679', 'Alpha6Beta4Integrin', 'Q8TCJ2'})"
"frozenset({'P21333', 'Alpha6Beta4Integrin', 'Q6WCQ1'})"
"frozenset({'P56179', 'Alpha6Beta4Integrin', 'Q13315'})"
"frozenset({'P78536', 'Alpha6Beta4Integrin', 'P78504'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9H9S0', 'Q13405'})"
"frozenset({'Q00987', 'Alpha6Beta4Integrin', 'O43623'})"
"frozenset({'Alpha6Beta4Integrin', 'P48729', 'P07910'})"
"frozenset({'P49756', 'Alpha6Beta4Integrin', 'Q14498'})"
"frozenset({'Q99594', 'Q9UJU2', 'Alpha6Beta4Integrin'})"
"frozenset({'P12830', 'Alpha6Beta4Integrin', 'Q9UH65'})"
"frozenset({'Q07021', 'Alpha6Beta4Integrin', 'Q15628'})"
"frozenset({'Alpha6Beta4Integrin', 'Q8TBB1', 'Q96PF1'})"
"frozenset({'Q9Y263', 'P00533', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q13535', 'O15355'})"
"frozenset({'Alpha6Beta4Integrin', 'P0C1Z6', 'P62805'})"
"frozenset({'Alpha6Beta4Integrin', 'Q15223', 'Q9NRD5'})"
"frozenset({'Q9Y281', 'Alpha6Beta4Integrin', 'P04040'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9H8M2', 'Q9BZ95'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9NVC3', 'Q68CJ9'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9NRI5', 'P07437'})"
"frozenset({'Alpha6Beta4Integrin', 'O15119', 'Q15717'})"
"frozenset({'Q92754', 'Alpha6Beta4Integrin', 'P38398'})"
"frozenset({'Alpha6Beta4Integrin', 'Q4LDE5', 'O95405'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9P0V9', 'Q9UH03'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9BUN8', 'Q96GF1'})"
"frozenset({'Q6IQ23', 'Alpha6Beta4Integrin', 'P62714'})"
"frozenset({'Alpha6Beta4Integrin', 'Q3LXA3', 'O14745'})"
"frozenset({'Alpha6Beta4Integrin', 'Q13190', 'Q68CJ9'})"
"frozenset({'Alpha6Beta4Integrin', 'Q8N137', 'O75420'})"
"frozenset({'Q9Y243', 'Alpha6Beta4Integrin', 'Q15172'})"
"frozenset({'P00747', 'Alpha6Beta4Integrin', 'P01042'})"
"frozenset({'P57078', 'Alpha6Beta4Integrin', 'P05771'})"
"frozenset({'P05000', 'Alpha6Beta4Integrin', 'Q08334'})"
"frozenset({'Alpha6Beta4Integrin', 'P38398', 'Q9GZX5'})"
"frozenset({'P04629', 'Alpha6Beta4Integrin', 'Q16555'})"
"frozenset({'O95947', 'Alpha6Beta4Integrin', 'O15496'})"
"frozenset({'Q13547', 'Alpha6Beta4Integrin', 'Q9H3R0'})"
"frozenset({'Q15022', 'Alpha6Beta4Integrin', 'P26599'})"
"frozenset({'Q16637', 'Alpha6Beta4Integrin', 'Q9P283'})"
"frozenset({'Q53HC9', 'Alpha6Beta4Integrin', 'Q96JG6'})"
"frozenset({'Alpha6Beta4Integrin', 'O75306', 'P04629'})"
"frozenset({'Q00839', 'Alpha6Beta4Integrin', 'Q9NUL3'})"
"frozenset({'P34932', 'Alpha6Beta4Integrin', 'P04637'})"
"frozenset({'Alpha6Beta4Integrin', 'Q8IZP0', 'Q12929'})"
"frozenset({'Q13555', 'Alpha6Beta4Integrin', 'P27815'})"
"frozenset({'Q96FV2', 'P59536', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P30519', 'Q6S8J3'})"
"frozenset({'Alpha6Beta4Integrin', 'P22314', 'Q16531'})"
"frozenset({'P61353', 'Alpha6Beta4Integrin', 'Q92499'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9UNS2', 'P05412'})"
"frozenset({'P51617', 'Alpha6Beta4Integrin', 'P08138'})"
"frozenset({'Alpha6Beta4Integrin', 'O00311', 'P55081'})"
"frozenset({'Q9Y2K1', 'Alpha6Beta4Integrin', 'P63162'})"
"frozenset({'P04075', 'Alpha6Beta4Integrin', 'P04629'})"
"frozenset({'Q13698', 'Alpha6Beta4Integrin', 'P22694'})"
"frozenset({'Q8IY92', 'Alpha6Beta4Integrin', 'O60343'})"
"frozenset({'P08913', 'Q14232', 'Alpha6Beta4Integrin'})"
"frozenset({'O43676', 'O43678', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q5T280', 'P05412'})"
"frozenset({'Q86Z20', 'Alpha6Beta4Integrin', 'P49910'})"
"frozenset({'Alpha6Beta4Integrin', 'P04083', 'Q86U42'})"
"frozenset({'Alpha6Beta4Integrin', 'Q04721', 'P78504'})"
"frozenset({'Alpha6Beta4Integrin', 'P00519', 'Q00535'})"
"frozenset({'Alpha6Beta4Integrin', 'P68104', 'P31947'})"
"frozenset({'Q00987', 'Alpha6Beta4Integrin', 'P18146'})"
"frozenset({'Alpha6Beta4Integrin', 'P26373', 'P04629'})"
"frozenset({'Q8IXT5', 'Alpha6Beta4Integrin', 'P09651'})"
"frozenset({'Alpha6Beta4Integrin', 'Q8TDD5', 'Q9H813'})"
"frozenset({'Q5R372', 'Alpha6Beta4Integrin', 'Q9H492'})"
"frozenset({'P41218', 'Alpha6Beta4Integrin', 'Q13387'})"
"frozenset({'Alpha6Beta4Integrin', 'P11940', 'P68104'})"
"frozenset({'Q13287', 'Alpha6Beta4Integrin', 'Q8TAB5'})"
"frozenset({'Q9UJ41', 'Alpha6Beta4Integrin', 'Q4V328'})"
"frozenset({'Q13310', 'Alpha6Beta4Integrin', 'O75340'})"
"frozenset({'Alpha6Beta4Integrin', 'P32119', 'P22061'})"
"frozenset({'P42684', 'P17676', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q8IY22', 'Q86YT6'})"
"frozenset({'Q9HC52', 'P62241', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9UBX2', 'P52597'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9NR21', 'P52948'})"
"frozenset({'Q99436', 'Alpha6Beta4Integrin', 'Q9UL46'})"
"frozenset({'Alpha6Beta4Integrin', 'P61586', 'Q92619'})"
"frozenset({'Alpha6Beta4Integrin', 'Q8IWE2', 'O95295'})"
"frozenset({'Q15475', 'Q9UM11', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q49AN0', 'P42704'})"
"frozenset({'Alpha6Beta4Integrin', 'P0DP25', 'Q92844'})"
"frozenset({'Alpha6Beta4Integrin', 'P04141', 'P48551'})"
"frozenset({'P49368', 'Alpha6Beta4Integrin', 'Q13043'})"
"frozenset({'Alpha6Beta4Integrin', 'O43809', 'O75718'})"
"frozenset({'Q9NQC3', 'Alpha6Beta4Integrin', 'Q6DD88'})"
"frozenset({'P41235', 'Alpha6Beta4Integrin', 'P02655'})"
"frozenset({'P35579', 'Q00796', 'Alpha6Beta4Integrin'})"
"frozenset({'Q8N4S9', 'Alpha6Beta4Integrin', 'Q13315'})"
"frozenset({'Q99996', 'Alpha6Beta4Integrin', 'Q9GZV8'})"
"frozenset({'Q14831', 'Alpha6Beta4Integrin', 'P63211'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9Y5K5', 'P13639'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9H4A4', 'P04629'})"
"frozenset({'Q9UQM7', 'Alpha6Beta4Integrin', 'Q99941'})"
"frozenset({'Q93009', 'Alpha6Beta4Integrin', 'Q96L34'})"
