#tail	head	weight	pathway_name	pathway_ID	edge_type	tail_symbol	head_symbol
P31749	Q12778	1	BCR	12	Phosphorylation	AKT1	FOXO1
P43405	Q6ZUJ8	1	BCR	12	Phosphorylation	SYK	PIK3AP1
P43405	P19174	1	BCR	12	Phosphorylation	SYK	PLCG1
P43405	P16885	1	BCR	12	Phosphorylation	SYK	PLCG2
P43405	Q15139	1	BCR	12	physical	SYK	PRKD1
P43405	P20936	1	BCR	12	Phosphorylation	SYK	RASA1
P43405	Q15418	1	BCR	12	Phosphorylation	SYK	RPS6KA1
P43405	P78314	1	BCR	12	physical	SYK	SH3BP2
P43405	P78314	1	BCR	12	Phosphorylation	SYK	SH3BP2
P43405	P29353	1	BCR	12	Phosphorylation	SYK	SHC1
P43405	P15498	1	BCR	12	physical	SYK	VAV1
P43405	P52735	1	BCR	12	physical	SYK	VAV2
P56279	P31749	1	BCR	12	physical	TCL1A	AKT1
P56279	P43403	1	BCR	12	physical	TCL1A	ZAP70
P42680	Q99704	1	BCR	12	Phosphorylation	TEC	DOK1
P42680	Q99704	1	BCR	12	physical	TEC	DOK1
P42680	P19174	1	BCR	12	Phosphorylation	TEC	PLCG1
P42680	P16885	1	BCR	12	Phosphorylation	TEC	PLCG2
P42680	Q99952	1	BCR	12	physical	TEC	PTPN18
P42680	Q99952	1	BCR	12	Phosphorylation	TEC	PTPN18
P42680	Q9ULZ2	1	BCR	12	Phosphorylation	TEC	STAP1
P42680	Q9ULZ2	1	BCR	12	physical	TEC	STAP1
P15498	Q8WV28	1	BCR	12	physical	VAV1	BLNK
P15498	P15391	1	BCR	12	physical	VAV1	CD19
P15498	P46108	1	BCR	12	physical	VAV1	CRK
P15498	P62993	1	BCR	12	physical	VAV1	GRB2
P15498	P61978	1	BCR	12	physical	VAV1	HNRNPK
P15498	Q9GZY6	1	BCR	12	physical	VAV1	LAT2
P15498	Q13094	1	BCR	12	physical	VAV1	LCP2
P15498	P78314	1	BCR	12	physical	VAV1	SH3BP2
P15498	P43405	1	BCR	12	physical	VAV1	SYK
P15498	P52735	1	BCR	12	physical	VAV1	VAV2
P52735	P22681	1	BCR	12	physical	VAV2	CBL
P52735	Q9GZY6	1	BCR	12	physical	VAV2	LAT2
P52735	P78314	1	BCR	12	physical	VAV2	SH3BP2
P52735	P43405	1	BCR	12	physical	VAV2	SYK
P52735	P15498	1	BCR	12	physical	VAV2	VAV1
P43403	P31749	1	BCR	12	physical	ZAP70	AKT1
P43403	P40259	1	BCR	12	physical	ZAP70	CD79B
P43403	P56279	1	BCR	12	physical	ZAP70	TCL1A
